,,,,,,,X,,,,,,,Y,
Energy,Dispersion,SigmaXY,ThetaPhi,Emittance,Focus,Plane,FWHM X,mean X,stdev X,FWHM Y,mean Y,stdev Y
127.977,1.382,3.0,0.01,0.06,positive,3,7.488975076428254,50.06273712831625,3.180301968926556,7.506326613721791,50.04769715410816,3.187670551096395,
234.635,0.666,0.01,15.0,0.15,positive,5,23.88729626229642,50.0398758502754,10.144087082680661,23.565213861531053,49.943806258611374,10.007310116158932,
69.395,1.081,0.01,15.0,0.3,positive,1,-9.27253209847582,50.04440952033301,-3.9377153467283077,-9.294262628446642,50.07840798975281,-3.94694353169978,
157.141,1.335,15.0,0.01,0.075,positive,2,36.23692422053156,50.118997718714716,15.388535850404095,36.710941432302256,49.99923454646389,15.58983413975805,
69.395,1.081,3.0,0.01,0.015,positive,3,7.714427078547704,50.03572615661553,3.276043434069859,7.654912270028886,50.04301628248724,3.2507696067729257,
98.736,1.311,3.0,0.01,0.06,positive,4,7.714186864286621,50.03339265968241,3.275941423597172,7.681874390895985,50.02118932049662,3.262219462755217,
127.977,1.382,0.01,0.1,0.0015,positive,4,-1.423970127648549,50.05453685589835,-0.6047095836795265,-1.4344455546221473,50.04906790727829,-0.6091581257950345,
98.736,1.311,7.0,0.01,0.21,positive,5,-17.39968830728292,50.01302057311455,-7.389030196739816,-17.418920384445435,50.041790275174456,-7.397197377461115,
98.736,1.311,0.5,0.01,0.015,positive,1,-1.364552511525097,50.050090073399645,-0.5794770305440364,-1.367098234785909,50.052475237373045,-0.5805581088779977,
69.395,1.081,15.0,0.01,0.3,positive,5,36.21595083415925,50.037741815984894,15.379629197451694,36.390279543189976,49.88284070254122,15.453660414128578,
234.635,0.666,0.1,0.01,0.002,positive,5,1.0562204831509163,50.05037539840828,0.44853935924533567,1.0638243233247686,50.05008335923934,0.451768440345154,
157.141,1.335,7.0,0.01,0.007,positive,1,17.461421117796178,50.41947624981924,7.415245930778061,16.46156543235217,50.23688085178934,6.9906427010158705,
195.932,1.106,7.0,0.01,0.07,positive,3,17.441909249933513,49.96588789870375,7.406959932874773,16.9930911393173,50.08076284299498,7.216362807591856,
127.977,1.382,0.1,0.01,0.003,positive,3,1.0847009339928246,50.05182558450763,0.4606339960900393,1.077722133042708,50.04785094751628,0.4576703469690454,
69.395,1.081,0.01,15.0,0.225,positive,1,9.217314122731091,50.03996600779846,3.914266231837562,9.201215318000253,50.04619848548804,3.9074296407339277,
195.932,1.106,15.0,0.01,0.015,positive,3,36.33458856983151,50.08108917485671,15.430010433935582,36.780183588217966,49.908160120608485,15.619238826319842,
157.141,1.335,0.1,0.01,0.002,positive,2,-0.6340366863242107,50.05110473496792,-0.2692528819110798,-0.6357687377012712,50.04881600671639,-0.26998842266913164,
234.635,0.666,0.01,0.1,0.0015,positive,3,-0.5876215372637138,50.04931006970386,-0.24954201514511373,-0.5978783406760773,50.054351438563494,-0.2538977155920151,
157.141,1.335,3.0,0.01,0.093,positive,3,7.389671715095197,50.02440944664214,3.1381313551448944,7.489340516828976,50.04669851911797,3.180457158497102,
195.932,1.106,0.01,11.0,0.011,positive,3,-12.295838261113403,50.129005557930746,-5.221606192081452,-12.09317600039811,50.08631261027434,-5.1355427214192755,
69.395,1.081,0.01,0.1,0.0015,positive,2,1.2954225872050265,50.05023822028186,0.5501200047583771,1.3063649677220996,50.05039127087131,0.5547668454739679,
234.635,0.666,0.01,3.0,0.06,positive,4,-4.151271135333128,50.04261212703108,-1.7628975434572483,-4.178511423443074,50.038682796614715,-1.774465527196821,
98.736,1.311,15.0,0.01,0.465,positive,1,36.31604797540101,49.971061338855414,15.42213690139333,36.429080567988684,50.07596238034503,15.470137832507511,
157.141,1.335,0.1,0.01,0.0001,positive,5,1.5320181650958589,50.04944334125755,0.6505937511023692,1.5236404294607657,50.052056093913365,0.6470360240618166,
69.395,1.081,0.01,15.0,0.45,positive,5,24.123719822440687,50.04280228705597,10.244487779191731,24.071205434488444,50.0939136847178,10.22218678209973,
