TPS E, energy, dispersion, sigmaXY, ThetaPhi, Emittance, Focus

70, 69.39451918040326, 1.0808185890488056, 4.65057579094011, 7.901745621079193, 115.4427955398292, 'positive'

75, 74.29333033954484, 1.1336498597758202, 4.461076933710674, 7.4604387765752325, 104.55411919944935, 'positive'

80, 79.18844988322432, 1.1798608535324298, 4.399219850267328, 6.910215611707496, 95.5002104788965, 'positive'

85, 84.08011137665326, 1.2201550004039319, 4.225795570160246, 6.628944873655345, 88.00147571808067, 'positive'

90, 88.96852070975896, 1.255088662480994, 4.157053181021574, 6.279045817994055, 82.00046150031054, 'positive'

95, 93.85386073609335, 1.2851096137430384, 4.13032448375254, 5.921474837172627, 76.83358966843173, 'positive'

100, 98.73629493011813, 1.3105832682665468, 4.11378006483585, 5.553011934841058, 71.76401696835836, 'positive'

105, 103.61597030946645, 1.3318111039339713, 4.061678289933016, 5.266586511525965, 67.20039227132976, 'positive'

110, 108.49301979798967, 1.349043934002053, 4.0093276996833715, 5.004974315901278, 63.03916785861447, 'positive'

115, 113.36756415723741, 1.362491671461711, 3.9232211274403936, 4.805088588014002, 59.22175185024007, 'positive'

120, 118.2397135805785, 1.3723306408603502, 3.7954719242657293, 4.70807384928561, 56.136601075894795, 'positive'

125, 123.10956902052605, 1.3787091333910761, 3.8080716270070005, 4.5162066697548235, 54.027637887411586, 'positive'

130, 127.97722330282916, 1.381751675701613, 3.720072275694199, 4.318715587398199, 50.471132048310594, 'positive'

135, 132.8427620684894, 1.3815623372420167, 3.629650297300484, 4.353495717145396, 49.64093695600021, 'positive'

140, 137.7062645756812, 1.378227304373418, 3.4618502622711804, 1.832774065133255, 19.93215583119238, 'positive'

145, 142.56780438668025, 1.3718168838174534, 3.603282409702793, 4.083256427476094, 46.221285515700856, 'positive'

150, 147.42744995969278, 1.3623870523597834, 3.586406463378578, 3.859720832107088, 43.486300892400884, 'positive'

155, 152.2852651614878, 1.349980637180024, 3.5648156345376187, 3.7091730297685572, 41.53854032126564, 'positive'

160, 157.1413097136469, 1.334628187373252, 3.46952731687409, 1.868619872404736, 20.36705979492695, 'positive'

165, 161.99563958283667, 1.3163485792603469, 3.617679834269105, 3.4316185255147156, 39.00014276109684, 'positive'

170, 166.8483073236112, 1.2951493839850918, 3.6270360977818226, 3.3868673614376394, 38.59109759523436, 'positive'

175, 171.6993623807468, 1.2710270142652624, 3.6432967300880255, 3.2454132173319885, 37.14510656326263, 'positive'

180, 176.54885135690688, 1.243966656947609, 3.646027029311849, 2.986665857350937, 34.209252549017634, 'positive'

185, 181.39681825046722, 1.2139419883468643, 3.602296080732425, 2.982239842187491, 33.748854577635484, 'positive'

190, 186.24330466754455, 1.1809146594324749, 3.5394434779094364, 2.860629863097096, 31.8078059711547, 'positive'

195, 191.0883500116334, 1.1448335269374887, 3.5315954792583844, 2.676816460417755, 29.697959488071156, 'positive'

200, 195.93199165372943, 1.1056335934336496, 3.534756370415561, 2.7321304034495526,  30.338770316996538, 'positive'

205, 200.77426508538565, 1.0632346030970061, 3.47010395812717, 2.8296465644581446, 30.846915465976412, 'positive'

210, 205.61520405678812, 1.0175392185570398, 3.488226447756797, 2.759464075298525, 30.238934140299595, 'positive'

215, 210.45484070163997, 0.9684306753858813, 3.5349893216571724, 2.5179513523348818, 27.96227518559641, 'positive'

220, 215.29320565039134, 0.915769770703716, 3.6078207699415534, 2.39356932221669, 27.128640374735745, 'positive'

225, 220.1303281331433, 0.859390985278201, 3.6283806283251256, 2.409882533689824, 27.46918521623945, 'positive'

230, 224.96623607337642, 0.7990974552221836, 3.5797981240301224, 2.2322681301173914, 25.1039440945099, 'positive'

235, 229.80095617350295, 0.7346543850217316, 3.585, 2.179049683691249, 24.54106222401807, 'positive'

240, 234.63451399311634, 0.665780303126917, 3.5175507020788257, 2.2507686055801823, 24.87186083178839, 'positive'

244, 238.50053989737805, 0.6072646142994923, 3.5361686528857126, 1.8129181156009322, 20.139478597715044, 'positive'
